Temperature,n_H,Metallicity,Value
2.054301997989354,0.9940403151373706,-1.2214026195180354,2.4379e-24
2.094499645519925,2.964177658413657,-0.5219038037482688,3.3761e-21
2.131807443640657,-0.5113491886786994,-0.2764950538660448,7.3415e-26
2.139503420295875,-3.0535640064310248,-1.8698957657042363,2.3626e-32
2.150557906947639,-1.1146826450298464,-1.6043532303691577,3.4148e-28
2.2124984816700435,-3.2530116267013334,-1.870087460672501,1.0321e-32
2.2187281337747367,-1.352793612751319,-1.1810333370246457,2.0277e-28
2.2219549212644916,-0.7268871568606821,-1.6847990786175724,2.2421e-27
2.2254383929722623,3.438242013442833,-0.06372434960879848,8.6251e-20
2.252235774616712,1.8839632347479112,-0.0024852958267547946,9.4906e-22
2.2867593022767787,-1.4065467022743516,-1.3007683230755371,1.4328e-28
2.3076116575276733,-0.23434069678211325,-1.2049895984895014,4.8644e-26
2.3207205150513692,-1.713191111870022,-0.06670926466490837,2.8151e-28
2.32297747899774,-0.37361065406571353,-0.00726287545451248,3.7567e-25
2.406961824800631,-2.291147563048333,-0.32151518525539363,4.7136e-30
2.415224522593799,-0.6117541510415423,-0.9501992636550308,1.9519e-26
2.421022734511727,2.561758381412821,-0.001408452283712263,1.513e-20
2.4408661542424825,3.270536226894109,-0.05143850128107459,1.3401e-19
2.4562270047945622,2.6781563291625146,-0.5567367447051796,6.9886e-21
2.477338681126416,-1.132213107516484,-1.8662650608968099,3.9019e-28
2.5481026020781274,0.7177856350590326,-1.888924168189519,1.1284e-24
2.549809326224178,2.6596170385705804,-0.21181616630432998,1.872e-20
2.6102084264323135,1.9237409979143847,-1.4619410482866628,1.4784e-22
2.633468706633004,1.2235354823759905,-1.6370898337503494,1.1248e-23
2.640818047295644,-1.327753257588225,-0.9949978420823198,7.7059e-28
2.6437591753162604,-3.672747862191078,-0.0027306682945268156,3.8529e-33
2.6674842236525684,0.6836506540010899,-0.9986968002459973,4.551e-24
2.672133718063759,0.5779600734000485,-0.9289988410809236,3.4923e-24
2.7226612853410783,3.2546766738324853,-1.4021898628783886,1.3508e-20
2.730729816977502,-1.024477619417105,-0.2397289001804618,1.895e-26
2.7388199751957076,3.920240853303887,-1.02821234140714,2.4494e-19
2.7435492591026187,3.980873430132353,-0.7029597421032645,6.1938e-19
2.7572916360931394,3.4213724058825656,-0.005875644653873118,5.2917e-19
2.8379908343581084,-3.303647708483232,-1.9949242499398032,1.7452e-32
2.841753370975797,2.685943886934876,-0.9987228554192541,6.4407e-21
2.85373114388025,1.6876494167073355,-0.32343172344285204,9.9475e-22
2.8694233949447914,-1.919155508055917,-0.4772783439869607,1.749e-28
2.8735939960163286,3.1489479986081106,-0.5862624017244304,7.2816e-20
2.8767589979425203,3.187063811601474,-1.9999823997541724,5.4467e-21
2.8883773143188067,-2.014340857137075,-1.782313295601175,1.1595e-29
2.924372773783543,-2.786942039668018,-0.9020641326925462,2.6681e-31
2.9271488176963807,-2.248415026699,-1.8027827700649657,3.4368e-30
2.952306394571108,-3.7051660774993342,-1.8212690308200892,3.1746e-33
3.039095527018689,-3.0602547689819706,-0.8812241775410289,7.4368e-32
3.058155566030261,3.0366339730305505,-1.6155226730019325,8.7294e-21
3.0643584763073837,-3.2176265997760156,-0.013227369563710251,5.2067e-32
3.094231294294486,-3.938745810945043,-1.7292767985455677,1.295e-33
3.1041504976838823,-2.43453955055134,-1.9834047339462186,1.4664e-30
3.109073911595134,3.0387466747745564,-1.9661904615896109,6.2291e-21
